device_id;section;temperature;created_at
1;pagi;4.5;"2025-01-01 08:00:00"
2;pagi;4.3;"2025-01-01 08:00:00"
3;pagi;4.9;"2025-01-01 08:00:00"
4;pagi;10;"2025-01-01 08:00:00"
5;pagi;15.8;"2025-01-01 08:00:00"
6;pagi;20.1;"2025-01-01 08:00:00"
7;pagi;8.9;"2025-01-01 08:00:00"
8;pagi;21;"2025-01-01 08:00:00"
10;pagi;20;"2025-01-01 08:00:00"
1;sore;5.4;"2025-01-01 15:30:00"
2;sore;5.9;"2025-01-01 15:30:00"
3;sore;5.9;"2025-01-01 15:30:00"
4;sore;12.5;"2025-01-01 15:30:00"
5;sore;16.8;"2025-01-01 15:30:00"
6;sore;20;"2025-01-01 15:30:00"
7;sore;9.9;"2025-01-01 15:30:00"
8;sore;19.8;"2025-01-01 15:30:00"
10;sore;21.6;"2025-01-01 15:30:00"
1;pagi;4.2;"2025-01-02 08:00:00"
2;pagi;4.2;"2025-01-02 08:00:00"
3;pagi;4.5;"2025-01-02 08:00:00"
4;pagi;11.5;"2025-01-02 08:00:00"
5;pagi;16.5;"2025-01-02 08:00:00"
6;pagi;18.6;"2025-01-02 08:00:00"
7;pagi;11;"2025-01-02 08:00:00"
8;pagi;20.9;"2025-01-02 08:00:00"
10;pagi;20;"2025-01-02 08:00:00"
1;sore;5.6;"2025-01-02 15:30:00"
2;sore;5.4;"2025-01-02 15:30:00"
3;sore;6.3;"2025-01-02 15:30:00"
4;sore;11.5;"2025-01-02 15:30:00"
5;sore;15.8;"2025-01-02 15:30:00"
6;sore;21;"2025-01-02 15:30:00"
7;sore;8.8;"2025-01-02 15:30:00"
8;sore;17.8;"2025-01-02 15:30:00"
10;sore;20.6;"2025-01-02 15:30:00"
1;pagi;4.3;"2025-01-03 08:00:00"
2;pagi;4.4;"2025-01-03 08:00:00"
3;pagi;4.6;"2025-01-03 08:00:00"
4;pagi;12.5;"2025-01-03 08:00:00"
5;pagi;17.5;"2025-01-03 08:00:00"
6;pagi;19.8;"2025-01-03 08:00:00"
7;pagi;9.8;"2025-01-03 08:00:00"
8;pagi;19.8;"2025-01-03 08:00:00"
10;pagi;21.9;"2025-01-03 08:00:00"
1;sore;5.5;"2025-01-03 15:30:00"
2;sore;5.2;"2025-01-03 15:30:00"
3;sore;6.4;"2025-01-03 15:30:00"
4;sore;12.6;"2025-01-03 15:30:00"
5;sore;15.9;"2025-01-03 15:30:00"
6;sore;19.6;"2025-01-03 15:30:00"
7;sore;10.8;"2025-01-03 15:30:00"
8;sore;18.9;"2025-01-03 15:30:00"
10;sore;21.9;"2025-01-03 15:30:00"
1;pagi;4.8;"2025-01-04 08:00:00"
2;pagi;4.6;"2025-01-04 08:00:00"
3;pagi;4.8;"2025-01-04 08:00:00"
4;pagi;11.6;"2025-01-04 08:00:00"
5;pagi;18;"2025-01-04 08:00:00"
6;pagi;20.6;"2025-01-04 08:00:00"
7;pagi;8.6;"2025-01-04 08:00:00"
8;pagi;17.5;"2025-01-04 08:00:00"
10;pagi;21;"2025-01-04 08:00:00"
1;sore;5.3;"2025-01-04 15:30:00"
2;sore;6.3;"2025-01-04 15:30:00"
3;sore;5.9;"2025-01-04 15:30:00"
4;sore;12.7;"2025-01-04 15:30:00"
5;sore;17.6;"2025-01-04 15:30:00"
6;sore;18.5;"2025-01-04 15:30:00"
7;sore;10.5;"2025-01-04 15:30:00"
8;sore;19;"2025-01-04 15:30:00"
10;sore;22.6;"2025-01-04 15:30:00"
1;pagi;4.9;"2025-01-05 08:00:00"
2;pagi;3.5;"2025-01-05 08:00:00"
3;pagi;4.5;"2025-01-05 08:00:00"
4;pagi;10.9;"2025-01-05 08:00:00"
5;pagi;17.3;"2025-01-05 08:00:00"
6;pagi;20.4;"2025-01-05 08:00:00"
7;pagi;10.9;"2025-01-05 08:00:00"
8;pagi;18.6;"2025-01-05 08:00:00"
10;pagi;20.6;"2025-01-05 08:00:00"
1;sore;5.2;"2025-01-05 15:30:00"
2;sore;5.7;"2025-01-05 15:30:00"
3;sore;5.7;"2025-01-05 15:30:00"
4;sore;11.7;"2025-01-05 15:30:00"
5;sore;15;"2025-01-05 15:30:00"
6;sore;19.8;"2025-01-05 15:30:00"
7;sore;9.6;"2025-01-05 15:30:00"
8;sore;18.6;"2025-01-05 15:30:00"
10;sore;23;"2025-01-05 15:30:00"
1;pagi;4.3;"2025-01-06 08:00:00"
2;pagi;3.4;"2025-01-06 08:00:00"
3;pagi;5.5;"2025-01-06 08:00:00"
4;pagi;12;"2025-01-06 08:00:00"
5;pagi;15.6;"2025-01-06 08:00:00"
6;pagi;21;"2025-01-06 08:00:00"
7;pagi;11;"2025-01-06 08:00:00"
8;pagi;19.5;"2025-01-06 08:00:00"
10;pagi;20;"2025-01-06 08:00:00"
1;sore;5.9;"2025-01-06 15:30:00"
2;sore;6.1;"2025-01-06 15:30:00"
3;sore;5.4;"2025-01-06 15:30:00"
4;sore;10.8;"2025-01-06 15:30:00"
5;sore;16.8;"2025-01-06 15:30:00"
6;sore;18.7;"2025-01-06 15:30:00"
7;sore;9.4;"2025-01-06 15:30:00"
8;sore;17.7;"2025-01-06 15:30:00"
10;sore;20.8;"2025-01-06 15:30:00"
1;pagi;4.5;"2025-01-07 08:00:00"
2;pagi;4.6;"2025-01-07 08:00:00"
3;pagi;4.8;"2025-01-07 08:00:00"
4;pagi;10.4;"2025-01-07 08:00:00"
5;pagi;17.6;"2025-01-07 08:00:00"
6;pagi;20.3;"2025-01-07 08:00:00"
7;pagi;10.9;"2025-01-07 08:00:00"
8;pagi;18.2;"2025-01-07 08:00:00"
10;pagi;20.9;"2025-01-07 08:00:00"
1;sore;6.4;"2025-01-07 15:30:00"
2;sore;6.5;"2025-01-07 15:30:00"
3;sore;5.1;"2025-01-07 15:30:00"
4;sore;10.9;"2025-01-07 15:30:00"
5;sore;15.4;"2025-01-07 15:30:00"
6;sore;20.8;"2025-01-07 15:30:00"
7;sore;8.6;"2025-01-07 15:30:00"
8;sore;19.5;"2025-01-07 15:30:00"
10;sore;21.7;"2025-01-07 15:30:00"
1;pagi;4.2;"2025-01-08 08:00:00"
2;pagi;3.3;"2025-01-08 08:00:00"
3;pagi;4.9;"2025-01-08 08:00:00"
4;pagi;11.8;"2025-01-08 08:00:00"
5;pagi;17.3;"2025-01-08 08:00:00"
6;pagi;18.6;"2025-01-08 08:00:00"
7;pagi;8.8;"2025-01-08 08:00:00"
8;pagi;19;"2025-01-08 08:00:00"
10;pagi;22.6;"2025-01-08 08:00:00"
1;sore;5.8;"2025-01-08 15:30:00"
2;sore;5.8;"2025-01-08 15:30:00"
3;sore;5.7;"2025-01-08 15:30:00"
4;sore;10.1;"2025-01-08 15:30:00"
5;sore;16.3;"2025-01-08 15:30:00"
6;sore;20.4;"2025-01-08 15:30:00"
7;sore;9.4;"2025-01-08 15:30:00"
8;sore;19.2;"2025-01-08 15:30:00"
10;sore;22.5;"2025-01-08 15:30:00"
1;pagi;4.6;"2025-01-09 08:00:00"
2;pagi;4.3;"2025-01-09 08:00:00"
3;pagi;5.3;"2025-01-09 08:00:00"
4;pagi;11.5;"2025-01-09 08:00:00"
5;pagi;15.6;"2025-01-09 08:00:00"
6;pagi;19.7;"2025-01-09 08:00:00"
7;pagi;9.9;"2025-01-09 08:00:00"
8;pagi;20;"2025-01-09 08:00:00"
10;pagi;22.8;"2025-01-09 08:00:00"
1;sore;5.7;"2025-01-09 15:30:00"
2;sore;5.4;"2025-01-09 15:30:00"
3;sore;6.4;"2025-01-09 15:30:00"
4;sore;11.6;"2025-01-09 15:30:00"
5;sore;15.5;"2025-01-09 15:30:00"
6;sore;19.8;"2025-01-09 15:30:00"
7;sore;8.6;"2025-01-09 15:30:00"
8;sore;17.8;"2025-01-09 15:30:00"
10;sore;22.4;"2025-01-09 15:30:00"
1;pagi;4.2;"2025-01-10 08:00:00"
2;pagi;4.2;"2025-01-10 08:00:00"
3;pagi;5.2;"2025-01-10 08:00:00"
4;pagi;11.6;"2025-01-10 08:00:00"
5;pagi;16.2;"2025-01-10 08:00:00"
6;pagi;20.6;"2025-01-10 08:00:00"
7;pagi;10.9;"2025-01-10 08:00:00"
8;pagi;21;"2025-01-10 08:00:00"
10;pagi;21.6;"2025-01-10 08:00:00"
1;sore;5.1;"2025-01-10 15:30:00"
2;sore;6.4;"2025-01-10 15:30:00"
3;sore;6.8;"2025-01-10 15:30:00"
4;sore;12.5;"2025-01-10 15:30:00"
5;sore;13.6;"2025-01-10 15:30:00"
6;sore;18.7;"2025-01-10 15:30:00"
7;sore;8.4;"2025-01-10 15:30:00"
8;sore;18.5;"2025-01-10 15:30:00"
10;sore;21.8;"2025-01-10 15:30:00"
1;pagi;4.5;"2025-01-11 08:00:00"
2;pagi;3.5;"2025-01-11 08:00:00"
3;pagi;4.8;"2025-01-11 08:00:00"
4;pagi;12.4;"2025-01-11 08:00:00"
5;pagi;15.8;"2025-01-11 08:00:00"
6;pagi;21;"2025-01-11 08:00:00"
7;pagi;10.8;"2025-01-11 08:00:00"
8;pagi;20.9;"2025-01-11 08:00:00"
10;pagi;21.9;"2025-01-11 08:00:00"
1;sore;5.3;"2025-01-11 15:30:00"
2;sore;6.8;"2025-01-11 15:30:00"
3;sore;6.4;"2025-01-11 15:30:00"
4;sore;13;"2025-01-11 15:30:00"
5;sore;17.5;"2025-01-11 15:30:00"
6;sore;19.5;"2025-01-11 15:30:00"
7;sore;9.7;"2025-01-11 15:30:00"
8;sore;19.2;"2025-01-11 15:30:00"
10;sore;21.6;"2025-01-11 15:30:00"
1;pagi;4.6;"2025-01-12 08:00:00"
2;pagi;3.8;"2025-01-12 08:00:00"
3;pagi;4.7;"2025-01-12 08:00:00"
4;pagi;10.8;"2025-01-12 08:00:00"
5;pagi;17.4;"2025-01-12 08:00:00"
6;pagi;20.3;"2025-01-12 08:00:00"
7;pagi;9.7;"2025-01-12 08:00:00"
8;pagi;20.3;"2025-01-12 08:00:00"
10;pagi;20.3;"2025-01-12 08:00:00"
1;sore;6.3;"2025-01-12 15:30:00"
2;sore;5.9;"2025-01-12 15:30:00"
3;sore;5.3;"2025-01-12 15:30:00"
4;sore;12.6;"2025-01-12 15:30:00"
5;sore;18;"2025-01-12 15:30:00"
6;sore;18.7;"2025-01-12 15:30:00"
7;sore;10;"2025-01-12 15:30:00"
8;sore;19.6;"2025-01-12 15:30:00"
10;sore;20.6;"2025-01-12 15:30:00"
1;pagi;4.3;"2025-01-13 08:00:00"
2;pagi;4.9;"2025-01-13 08:00:00"
3;pagi;5.6;"2025-01-13 08:00:00"
4;pagi;11.3;"2025-01-13 08:00:00"
5;pagi;15.9;"2025-01-13 08:00:00"
6;pagi;21.5;"2025-01-13 08:00:00"
7;pagi;9.8;"2025-01-13 08:00:00"
8;pagi;18.2;"2025-01-13 08:00:00"
10;pagi;21.8;"2025-01-13 08:00:00"
1;sore;6.8;"2025-01-13 15:30:00"
2;sore;5.7;"2025-01-13 15:30:00"
3;sore;6.4;"2025-01-13 15:30:00"
4;sore;12.4;"2025-01-13 15:30:00"
5;sore;16.9;"2025-01-13 15:30:00"
6;sore;19.8;"2025-01-13 15:30:00"
7;sore;11;"2025-01-13 15:30:00"
8;sore;17.8;"2025-01-13 15:30:00"
10;sore;22.3;"2025-01-13 15:30:00"
1;pagi;4.2;"2025-01-14 08:00:00"
2;pagi;4.8;"2025-01-14 08:00:00"
3;pagi;5.3;"2025-01-14 08:00:00"
4;pagi;11.4;"2025-01-14 08:00:00"
5;pagi;15.7;"2025-01-14 08:00:00"
6;pagi;19.5;"2025-01-14 08:00:00"
7;pagi;9.9;"2025-01-14 08:00:00"
8;pagi;17.9;"2025-01-14 08:00:00"
10;pagi;23;"2025-01-14 08:00:00"
1;sore;5.8;"2025-01-14 15:30:00"
2;sore;6.2;"2025-01-14 15:30:00"
3;sore;6.8;"2025-01-14 15:30:00"
4;sore;11.3;"2025-01-14 15:30:00"
5;sore;17.2;"2025-01-14 15:30:00"
6;sore;19.3;"2025-01-14 15:30:00"
7;sore;9.6;"2025-01-14 15:30:00"
8;sore;19.5;"2025-01-14 15:30:00"
10;sore;22.2;"2025-01-14 15:30:00"
1;pagi;4.9;"2025-01-15 08:00:00"
2;pagi;3.7;"2025-01-15 08:00:00"
3;pagi;5.2;"2025-01-15 08:00:00"
4;pagi;12;"2025-01-15 08:00:00"
5;pagi;17.9;"2025-01-15 08:00:00"
6;pagi;18.9;"2025-01-15 08:00:00"
7;pagi;10.8;"2025-01-15 08:00:00"
8;pagi;18.5;"2025-01-15 08:00:00"
10;pagi;21.9;"2025-01-15 08:00:00"
1;sore;5.6;"2025-01-15 15:30:00"
2;sore;6.1;"2025-01-15 15:30:00"
3;sore;5.9;"2025-01-15 15:30:00"
4;sore;11.9;"2025-01-15 15:30:00"
5;sore;16.5;"2025-01-15 15:30:00"
6;sore;18.2;"2025-01-15 15:30:00"
7;sore;9.7;"2025-01-15 15:30:00"
8;sore;18.6;"2025-01-15 15:30:00"
10;sore;23;"2025-01-15 15:30:00"
1;pagi;4.8;"2025-01-16 08:00:00"
2;pagi;3.4;"2025-01-16 08:00:00"
3;pagi;4.8;"2025-01-16 08:00:00"
4;pagi;12.2;"2025-01-16 08:00:00"
5;pagi;15.8;"2025-01-16 08:00:00"
6;pagi;20;"2025-01-16 08:00:00"
7;pagi;9.6;"2025-01-16 08:00:00"
8;pagi;18.9;"2025-01-16 08:00:00"
10;pagi;22.2;"2025-01-16 08:00:00"
1;sore;5.4;"2025-01-16 15:30:00"
2;sore;5.1;"2025-01-16 15:30:00"
3;sore;5.7;"2025-01-16 15:30:00"
4;sore;12.6;"2025-01-16 15:30:00"
5;sore;15.6;"2025-01-16 15:30:00"
6;sore;20.5;"2025-01-16 15:30:00"
7;sore;8.9;"2025-01-16 15:30:00"
8;sore;18.9;"2025-01-16 15:30:00"
10;sore;20.1;"2025-01-16 15:30:00"
1;pagi;4.5;"2025-01-17 08:00:00"
2;pagi;4.9;"2025-01-17 08:00:00"
3;pagi;4.7;"2025-01-17 08:00:00"
4;pagi;12;"2025-01-17 08:00:00"
5;pagi;17.3;"2025-01-17 08:00:00"
6;pagi;21;"2025-01-17 08:00:00"
7;pagi;10;"2025-01-17 08:00:00"
8;pagi;18.9;"2025-01-17 08:00:00"
10;pagi;22;"2025-01-17 08:00:00"
1;sore;6.2;"2025-01-17 15:30:00"
2;sore;5.2;"2025-01-17 15:30:00"
3;sore;6.4;"2025-01-17 15:30:00"
4;sore;12.6;"2025-01-17 15:30:00"
5;sore;15.3;"2025-01-17 15:30:00"
6;sore;19.3;"2025-01-17 15:30:00"
7;sore;11;"2025-01-17 15:30:00"
8;sore;17;"2025-01-17 15:30:00"
10;sore;23;"2025-01-17 15:30:00"
1;pagi;4.7;"2025-01-18 08:00:00"
2;pagi;4.8;"2025-01-18 08:00:00"
3;pagi;5.5;"2025-01-18 08:00:00"
4;pagi;10.5;"2025-01-18 08:00:00"
5;pagi;15.6;"2025-01-18 08:00:00"
6;pagi;20.6;"2025-01-18 08:00:00"
7;pagi;8.7;"2025-01-18 08:00:00"
8;pagi;19.5;"2025-01-18 08:00:00"
